Genus,depth,Percent_Abundance,guild
Desulfosarcina_AB2,10.5,NA,1
Gallionella_AB1,10.5,0,5
Gallionella_AB2,10.5,NA,5
Fe/SO42-,11.5,3.202511774,-9
SRB,11.5,1.381475667,-10
FeRB,11.5,0.313971742,-8
SOB,11.5,0.392464677,-7
FeOB,11.5,0.047095761,-6
Desulfobulbus_AB1,11.5,1.883830455,2
Desulfobulbus_AB2,11.5,NA,2
Desulfococcus_AB1,11.5,0.313971743,1
Desulfococcus_AB2,11.5,NA,1
Sva0081_sediment_group_AB1,11.5,0.643642072,1
Sva0081_sediment_group_AB2,11.5,NA,1
Arcobacter_AB1,11.5,0,4
Arcobacter_AB2,11.5,NA,4
Cocleimonas_AB1,11.5,0.015698587,4
Cocleimonas_AB2,11.5,NA,4
Thiobacillus_AB1,11.5,0.031397174,4
Thiobacillus_AB2,11.5,NA,4
Sulfurimonas_AB1,11.5,0.298273155,4
Sulfurimonas_AB2,11.5,NA,4
Sulfurovum_AB1,11.5,0.047095761,4
Sulfurovum_AB2,11.5,NA,4
Mariprofundus_AB1,11.5,0.047095761,5
Mariprofundus_AB2,11.5,NA,5
Deferrisoma_AB1,11.5,0.156985871,3
Deferrisoma_AB2,11.5,NA,3
Geobacter_AB1,11.5,0.047095761,3
Geobacter_AB2,11.5,NA,3
Geothermobacter_AB1,11.5,0.031397174,3
Geothermobacter_AB2,11.5,NA,3
Geopsychrobacter_AB1,11.5,0.015698587,3
Geopsychrobacter_AB2,11.5,NA,3
Sva1033_unclassified_AB1,11.5,1.318681319,2
Sva1033_unclassified_AB2,11.5,NA,2
Desulfuromusa_AB1,11.5,0.062794349,3
Desulfuromusa_AB2,11.5,NA,3
SEEP-SRB1_AB1,11.5,0.141287284,1
SEEP-SRB1_AB2,11.5,NA,1
Desulfobacula_AB1,11.5,0.235478807,1
Desulfobacula_AB2,11.5,NA,1
Desulfosarcina_AB1,11.5,0.047095761,1
Desulfosarcina_AB2,11.5,NA,1
Gallionella_AB1,11.5,0,5
Gallionella_AB2,11.5,NA,5
Fe/SO42-,12.5,5.276719782,-9
SRB,12.5,1.317518113,-10
FeRB,12.5,0.680029857,-8
SOB,12.5,0.657097224,-7
FeOB,12.5,0.166005877,-6
Desulfobulbus_AB1,12.5,0.480934387,2
Desulfobulbus_AB2,12.5,2.631247639,2
Desulfococcus_AB1,12.5,0.017176228,1
Desulfococcus_AB2,12.5,0.201435226,1
Sva0081_sediment_group_AB1,12.5,0.154586053,1
Sva0081_sediment_group_AB2,12.5,0.402870452,1
Arcobacter_AB1,12.5,0.051528684,4
Arcobacter_AB2,12.5,0,4
Cocleimonas_AB1,12.5,0.051528684,4
Cocleimonas_AB2,12.5,0.012589702,4
Thiobacillus_AB1,12.5,0.051528684,4
Thiobacillus_AB2,12.5,0.025179403,4
Sulfurimonas_AB1,12.5,0.120233597,4
Sulfurimonas_AB2,12.5,0.226614629,4
Sulfurovum_AB1,12.5,0.017176228,4
Sulfurovum_AB2,12.5,0.100717613,4
Mariprofundus_AB1,12.5,0.085881141,5
Mariprofundus_AB2,12.5,0.050358806,5
Deferrisoma_AB1,12.5,0.188938509,3
Deferrisoma_AB2,12.5,0.163666121,3
Geobacter_AB1,12.5,0.051528684,3
Geobacter_AB2,12.5,0.025179403,3
Geothermobacter_AB1,12.5,0.034352456,3
Geothermobacter_AB2,12.5,0.012589702,3
Geopsychrobacter_AB1,12.5,0.017176228,3
Geopsychrobacter_AB2,12.5,0.012589702,3
Sva1033_unclassified_AB1,12.5,0.515286843,2
Sva1033_unclassified_AB2,12.5,1.649250913,2
Desulfuromusa_AB1,12.5,0.085881141,3
Desulfuromusa_AB2,12.5,0.088127911,3
SEEP-SRB1_AB1,12.5,0.068704912,1
SEEP-SRB1_AB2,12.5,0.125897016,1
Desulfobacula_AB1,12.5,0.085881141,1
Desulfobacula_AB2,12.5,0.188845524,1
Desulfosarcina_AB1,12.5,0.034352456,1
Desulfosarcina_AB2,12.5,0.037769105,1
Gallionella_AB1,12.5,0.017176228,5
Gallionella_AB2,12.5,0.012589702,5
Fe/SO42-,14.5,2.067914672,-9
SRB,14.5,1.262516326,-10
FeRB,14.5,0.282977797,-8
SOB,14.5,0.391815411,-7
FeOB,14.5,0,-6
Desulfobulbus_AB1,14.5,1.240748803,2
Desulfobulbus_AB2,14.5,NA,2
Desulfococcus_AB1,14.5,0.195907706,1
Desulfococcus_AB2,14.5,NA,1
Sva0081_sediment_group_AB1,14.5,0.565955594,1
Sva0081_sediment_group_AB2,14.5,NA,1
Arcobacter_AB1,14.5,0,4
Arcobacter_AB2,14.5,NA,4
Cocleimonas_AB1,14.5,0.021767523,4
Cocleimonas_AB2,14.5,NA,4
Thiobacillus_AB1,14.5,0.021767523,4
Thiobacillus_AB2,14.5,NA,4
Sulfurimonas_AB1,14.5,0.261210274,4
Sulfurimonas_AB2,14.5,NA,4
Sulfurovum_AB1,14.5,0.087070091,4
Sulfurovum_AB2,14.5,NA,4
Mariprofundus_AB1,14.5,0,5
Mariprofundus_AB2,14.5,NA,5
Deferrisoma_AB1,14.5,0.108837614,3
Deferrisoma_AB2,14.5,NA,3
Geobacter_AB1,14.5,0.043535046,3
Geobacter_AB2,14.5,NA,3
Geothermobacter_AB1,14.5,0.021767523,3
Geothermobacter_AB2,14.5,NA,3
Geopsychrobacter_AB1,14.5,0.021767523,3
Geopsychrobacter_AB2,14.5,NA,3
Sva1033_unclassified_AB1,14.5,0.827165869,2
Sva1033_unclassified_AB2,14.5,NA,2
Desulfuromusa_AB1,14.5,0.087070091,3
Desulfuromusa_AB2,14.5,NA,3
SEEP-SRB1_AB1,14.5,0.282977797,1
SEEP-SRB1_AB2,14.5,NA,1
Desulfobacula_AB1,14.5,0.174140183,1
Desulfobacula_AB2,14.5,NA,1
Desulfosarcina_AB1,14.5,0.043535046,1
