Number_of_sequences,AB-1-0-1,AB-1-1-2,AB-1-10-11,AB-1-11-12,AB-1-12-13,AB-1-14-15,AB-1-2-3,AB-1-3-4,AB-1-4-5,AB-1-5-6,AB-1-6-7,AB-1-7-8,AB-1-8-9,AB-1-9-10
17400,2298.773,2742.634,4663.493,3111.062,3211.011,2670,2768.154,2541.187,2815,3125,3142.338,2828.105,4273.329,4823.032
17500,2305.87,2751.384,4683.51,3122.383,3220.353,2674,2776.963,2549.171,2824,3130,3152.765,2835.55,4290.966,4842.171
17600,2312.949,2759.851,4701.768,3134.002,3229.225,2684,2784.952,2556.092,2831,3136,3162.547,2843.617,4307.712,4863.481
17700,2320.862,2768.054,4720.745,3145.148,3239.318,2698,2793.2,2564.141,2837,3144,3173.537,2852.441,4325.041,4883.737
17800,2328.449,2775.821,4739.545,3155.335,3248.979,2708,2801.767,2572.835,2843,3152,3183.311,2860.44,4342.901,4903.334
17900,2336.171,2783.871,4759.007,3165.766,3258.647,2715,2810.051,2581.121,2852,3161,3193.434,2868.679,4359.734,4923.11
18000,2343.606,2791.669,4778.019,3176.305,3268.221,2722,2818.021,2587.987,2859,3169,3204.42,2877.092,4376.835,4942.519
18100,2350.611,2800.014,4796.621,3186.947,3277.533,2735,2826.9,2595.984,2873,3181,3214.61,2884.849,4395.747,4963.612
18200,2357.702,2807.913,4814.741,3197.089,3287.413,2743,2834.945,2603.393,2881,3202,3224.685,2893.111,4412.909,4984.066
18300,2365.076,2816.109,4834.057,3207.844,3296.343,2751,2843.203,2611.151,2887,3212,3234.322,2900.86,4430.339,5003.213
18400,2372.576,2823.808,4852.082,3218.707,3305.763,2758,2852.093,2619.005,2894,3220,3244.453,2908.877,4447.938,5023.181
18500,2380.258,2831.539,4869.754,3228.608,3315.056,2764,2860.548,2626.931,2903,3230,3254.242,2916.722,4465.522,5044.33
18600,2387.681,2839.915,4888.74,3239.95,3324.447,2772,2867.992,2634.703,2917,3237,3263.575,2924.458,4482.562,5064.309
18700,2394.115,2847.737,4907.836,3251.261,3333.688,2775,2876.27,2642.083,2925,3254,3273.869,2932.046,4499.315,5084.488
18800,2400.498,2856.43,4926.933,3261.235,3342.976,2782,2884.588,2649.263,2935,3266,3284.284,2941.226,4516.019,5104.393
18900,2407.252,2864.661,4945.571,3271.698,3352.187,2792,2892.113,2656.11,2944,3277,3293.235,2949.175,4534.191,5124.406
19000,2414.073,2872.609,4964.014,3281.747,3361.459,2802,2899.928,2663.441,2957,3290,3302.821,2956.978,4551.87,5144.779
19100,2420.876,2881.043,4982.27,3292.08,3370.055,2808,2908.068,2670.53,2965,3299,3312.972,2964.547,4569.174,5164.676
19200,2428.183,2888.673,5000.02,3302.076,3379.766,2817,2916.593,2678.305,2975,3307,3322.059,2972.423,4586.786,5184.919
19300,2434.78,2896.479,5019.298,3312.527,3388.719,2827,2924.769,2685.682,2983,3319,3331.743,2980.327,4603.451,5205.383
19400,2441.267,2904.554,5038.015,3323.343,3397.757,2838,2932.699,2692.686,2991,3324,3341.188,2988.27,4620.816,5224.494
19500,2447.606,2912.427,5056.173,3333.416,3407.089,2845,2940.752,2699.938,3001,3334,3350.829,2997.168,4638.047,5244.547
19600,2454.404,2919.762,5075.056,3344.322,3416.582,2852,2948.374,2706.672,3007,3341,3360.467,3005.27,4654.511,5263.886
19700,2461.581,2927.762,5093.872,3353.988,3425.628,2857,2956.439,2714.458,3016,3351,3369.713,3012.945,4670.22,5284.829
19800,2468.891,2935.198,5112.81,3364.024,3434.46,2865,2963.233,2721.636,3022,3358,3378.671,3021.905,4687.245,5305.057
19900,2476.033,2942.733,5131.15,3373.949,3442.705,2871,2970.665,2728.664,3029,3370,3387.836,3029.956,4704.42,5324.342
20000,2482.934,2950.288,5150.163,3383.634,3452.357,2879,2978.371,2735.836,3034,3380,3397.064,3037.694,4722.055,5344.255
20100,2490.068,2957.892,5168.564,3392.643,3460.892,2890,2985.912,2742.614,3044,3390,3406.529,3045.604,4737.982,5365.526
20200,2496.43,2965.87,5186.634,3402.717,3469.319,2896,2993.16,2749.192,3056,3399,3415.91,3053.871,4754.379,5386.471
20300,2503.669,2973.634,5204.929,3413.034,3478.139,2904,3000.379,2756.661,3066,3411,3425.809,3061.459,4770.946,5406.809
20400,2510.399,2981.564,5224.019,3422.958,3487.143,2908,3008.614,2763.298,3073,3418,3434.761,3069.731,4788.165,5426.344
