Genus,depth,Percent_Abundance,guild
Mariprofundus_AC1,9.5,NA,5
Mariprofundus_AC2,9.5,0.042220815,5
Deferrisoma_AC1,9.5,NA,3
Deferrisoma_AC2,9.5,0.253324889,3
Geobacter_AC1,9.5,NA,3
Geobacter_AC2,9.5,0.08444163,3
Geothermobacter_AC1,9.5,NA,3
Geothermobacter_AC2,9.5,0.063331222,3
Geopsychrobacter_AC1,9.5,NA,3
Geopsychrobacter_AC2,9.5,0.021110407,3
Sva1033_unclassified_AC1,9.5,NA,2
Sva1033_unclassified_AC2,9.5,0.422208149,2
Desulfuromusa_AC1,9.5,NA,3
Desulfuromusa_AC2,9.5,0.08444163,3
SEEP-SRB1_AC1,9.5,NA,1
SEEP-SRB1_AC2,9.5,0.126662445,1
Desulfobacula_AC1,9.5,NA,1
Desulfobacula_AC2,9.5,0.147772852,1
Desulfosarcina_AC1,9.5,NA,1
Desulfosarcina_AC2,9.5,0.042220815,1
Gallionella_AC1,9.5,NA,5
Gallionella_AC2,9.5,0.042220815,5
Fe/SO42-,10.5,2.464146796,-9
SRB,10.5,1.021902074,-10
FeRB,10.5,0.905022486,-8
SOB,10.5,0.849379887,-7
FeOB,10.5,0.170707603,-6
Desulfobulbus_AC1,10.5,0.583490647,2
Desulfobulbus_AC2,10.5,0.591957542,2
Desulfococcus_AC1,10.5,0.068645958,1
Desulfococcus_AC2,10.5,0.040824658,1
Sva0081_sediment_group_AC1,10.5,0.188776386,1
Sva0081_sediment_group_AC2,10.5,0.122473974,1
Arcobacter_AC1,10.5,0.051484469,4
Arcobacter_AC2,10.5,0.102061645,4
Cocleimonas_AC1,10.5,0.01716149,4
Cocleimonas_AC2,10.5,0.061236987,4
Thiobacillus_AC1,10.5,0.034322979,4
Thiobacillus_AC2,10.5,0.142886303,4
Sulfurimonas_AC1,10.5,0.137291917,4
Sulfurimonas_AC2,10.5,0.244947949,4
Sulfurovum_AC1,10.5,0.01716149,4
Sulfurovum_AC2,10.5,0.040824658,4
Mariprofundus_AC1,10.5,0.068645958,5
Mariprofundus_AC2,10.5,0.061236987,5
Deferrisoma_AC1,10.5,0.188776386,3
Deferrisoma_AC2,10.5,0.20412329,3
Geobacter_AC1,10.5,0.068645958,3
Geobacter_AC2,10.5,0.102061645,3
Geothermobacter_AC1,10.5,0.051484469,3
Geothermobacter_AC2,10.5,0.061236987,3
Geopsychrobacter_AC1,10.5,0.01716149,3
Geopsychrobacter_AC2,10.5,0.040824658,3
Sva1033_unclassified_AC1,10.5,0.308906813,2
Sva1033_unclassified_AC2,10.5,0.979791794,2
Desulfuromusa_AC1,10.5,0.068645958,3
Desulfuromusa_AC2,10.5,0.102061645,3
SEEP-SRB1_AC1,10.5,0.085807448,1
SEEP-SRB1_AC2,10.5,0.081649316,1
Desulfobacula_AC1,10.5,0.137291917,1
Desulfobacula_AC2,10.5,0.20412329,1
Desulfosarcina_AC1,10.5,0.051484469,1
Desulfosarcina_AC2,10.5,0.040824658,1
Gallionella_AC1,10.5,0,5
Gallionella_AC2,10.5,0.040824658,5
Fe/SO42-,11.5,0.669298095,-9
SRB,11.5,0.39471426,-10
FeRB,11.5,0.411875751,-8
SOB,11.5,0.205937876,-7
FeOB,11.5,0.085807448,-6
Desulfobulbus_AC1,11.5,0.46336022,2
Desulfobulbus_AC2,11.5,NA,2
Desulfococcus_AC1,11.5,0.034322979,1
Desulfococcus_AC2,11.5,NA,1
Sva0081_sediment_group_AC1,11.5,0.137291917,1
Sva0081_sediment_group_AC2,11.5,NA,1
Arcobacter_AC1,11.5,0.051484469,4
Arcobacter_AC2,11.5,NA,4
Cocleimonas_AC1,11.5,0.01716149,4
Cocleimonas_AC2,11.5,NA,4
Thiobacillus_AC1,11.5,0.034322979,4
Thiobacillus_AC2,11.5,NA,4
Sulfurimonas_AC1,11.5,0.085807448,4
Sulfurimonas_AC2,11.5,NA,4
Sulfurovum_AC1,11.5,0.01716149,4
Sulfurovum_AC2,11.5,NA,4
Mariprofundus_AC1,11.5,0.085807448,5
Mariprofundus_AC2,11.5,NA,5
Deferrisoma_AC1,11.5,0.257422344,3
Deferrisoma_AC2,11.5,NA,3
Geobacter_AC1,11.5,0.051484469,3
Geobacter_AC2,11.5,NA,3
Geothermobacter_AC1,11.5,0.034322979,3
Geothermobacter_AC2,11.5,NA,3
Geopsychrobacter_AC1,11.5,0.01716149,3
Geopsychrobacter_AC2,11.5,NA,3
Sva1033_unclassified_AC1,11.5,0.205937875,2
Sva1033_unclassified_AC2,11.5,NA,2
Desulfuromusa_AC1,11.5,0.051484469,3
Desulfuromusa_AC2,11.5,NA,3
SEEP-SRB1_AC1,11.5,0.068645958,1
SEEP-SRB1_AC2,11.5,NA,1
Desulfobacula_AC1,11.5,0.120130427,1
Desulfobacula_AC2,11.5,NA,1
Desulfosarcina_AC1,11.5,0.034322979,1
Desulfosarcina_AC2,11.5,NA,1
Gallionella_AC1,11.5,0,5
Gallionella_AC2,11.5,NA,5
Fe/SO42-,12.5,2.964469178,-9
SRB,12.5,0.80265411,-10
FeRB,12.5,0.299657535,-8
SOB,12.5,0.171232876,-7
FeOB,12.5,0.02140411,-6
Desulfobulbus_AC1,12.5,1.487585616,2
Desulfobulbus_AC2,12.5,NA,2
Desulfococcus_AC1,12.5,0.26755137,1
