Station,Subcore,Depth,Replicate,Domain,qPCR,Average,d13C,CtoN,TOC
AB,AB.2,6.5,A,Bacteria,4.70E+09,3.18E+09,-24.33,13.66,1.4526
AB,AB.2,7.5,A,Bacteria,1.11E+09,1.38E+09,-24.89,12.55,1.5514
AB,AB.2,8.5,A,Bacteria,1.48E+08,3.22E+08,-26.97,12.26,1.3904
AB,AB.2,9.5,A,Bacteria,1.53E+09,1.30E+09,-26.97,13.52,1.4943
AB,AB.2,10.5,A,Bacteria,5.68E+08,1.12E+09,-25.01,12.7,1.5119
AB,AB.2,12.5,A,Bacteria,3.74E+09,2.33E+09,-25.01,12.7,1.3901
AB,AB.2,13.5,A,Bacteria,1.46E+09,2.22E+09,-24.78,13.22,1.356
AB,AB.2,14.5,A,Bacteria,2.24E+08,2.93E+08,-25.5,12.46,
AB,AB.2,16.5,A,Bacteria,3.07E+08,2.00E+08,-24.76,13.35,1.4823
AB,AB.2,17.5,A,Bacteria,1.27E+09,1.15E+09,-25.62,12.9,1.3773
AB,AB.2,18.5,A,Bacteria,5.48E+07,1.05E+08,-25.86,13.04,
AB,AB.2,0.5,A,Archaea,2.74E+07,3.06E+07,,,1.4333
AB,AB.2,1.5,A,Archaea,1.77E+07,2.17E+07,,12.04,1.49
AB,AB.2,2.5,A,Archaea,2.40E+06,2.33E+06,,,1.4188
AB,AB.2,3.5,A,Archaea,1.08E+06,9.55E+05,-24.74,12.73,1.527
AB,AB.2,4.5,A,Archaea,4.51E+06,4.21E+06,-25.26,12.53,1.37
AB,AB.2,5.5,A,Archaea,2.19E+06,2.19E+06,-24.19,9.15,1.4278
AB,AB.2,6.5,A,Archaea,1.87E+05,1.61E+05,-24.33,13.66,1.4526
AB,AB.2,7.5,A,Archaea,3.26E+06,1.79E+06,-24.89,12.55,1.5514
AB,AB.2,8.5,A,Archaea,,,-26.97,12.26,1.3904
AB,AB.2,9.5,A,Archaea,3.80E+05,3.80E+05,-26.97,13.52,1.4943
AB,AB.2,10.5,A,Archaea,4.46E+05,4.46E+05,-25.01,12.7,1.5119
AB,AB.2,12.5,A,Archaea,6.07E+04,1.65E+05,-25.01,12.7,1.3901
AB,AB.2,13.5,A,Archaea,1.07E+06,1.07E+06,-24.78,13.22,1.356
AB,AB.2,14.5,A,Archaea,3.94E+05,3.94E+05,-25.5,12.46,
AB,AB.2,16.5,A,Archaea,,,-24.76,13.35,1.4823
AB,AB.2,17.5,A,Archaea,4.26E+06,2.70E+06,-25.62,12.9,1.3773
AB,AB.2,18.5,A,Archaea,7.42E+04,7.42E+04,-25.86,13.04,
AB,AB.2,0.5,B,Bacteria,1.28E+11,1.33E+11,,,1.4333
AB,AB.2,1.5,B,Bacteria,,6.64E+10,,12.04,1.49
AB,AB.2,2.5,B,Bacteria,6.50E+09,6.50E+09,,,1.4188
AB,AB.2,3.5,B,Bacteria,4.86E+09,3.67E+09,-24.74,12.73,1.527
AB,AB.2,4.5,B,Bacteria,3.48E+10,2.00E+10,-25.26,12.53,1.37
AB,AB.2,5.5,B,Bacteria,1.34E+10,8.56E+10,-24.19,9.15,1.4278
AB,AB.2,6.5,B,Bacteria,1.67E+09,3.18E+09,-24.33,13.66,1.4526
AB,AB.2,7.5,B,Bacteria,1.66E+09,1.38E+09,-24.89,12.55,1.5514
